2026-05-24 23:58:06 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:06 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:09 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:09 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:12 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:12 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:15 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:15 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:18 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:18 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:21 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:21 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:24 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:24 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:27 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:27 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:30 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:30 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:33 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:33 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:36 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:36 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:39 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:39 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:42 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:42 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:45 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:45 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:48 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:48 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:51 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:58:51 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:58:54 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
